albums_id,album_name,album_popularity,album_release_date,album_picture_url
7fJJK56U9fHixgO0HQkhtI,Baila, 66,2019-05-17,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
5MyIUcMuz1rsqiwRVxavRY,Para Aventuras y Curiosidades, 75,2019-05-03,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
3HpTJ9jpgwzzn7S8AUwlb9,Norman Fucking Rockwell!, 81,2019-08-30,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
67rOBOMZsXiQwoPpZbnC8b,Bad Liar – Stripped, 56,2019-05-31,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
4ZOJtA52YPtxDuT0YmyWKl,How Do You Sleep?, 77,2019-07-19,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
67rOBOMZsXiQwoPpZbnC8b,UK Greatest Hits Of 2014 Vol. 2, 3,2015,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
3HpTJ9jpgwzzn7S8AUwlb9,This Is Acting (Deluxe Version), 75,2016-10-21,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7a8LBp4khqUFgSc4j8tVgN,LABRINTH SIA & DIPLO PRESENT... LSD, 77,2019-04-12,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
67rOBOMZsXiQwoPpZbnC8b,Caracal (Deluxe), 63,2015-09-25,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
0rDDD6fyQCUDiwlehEJsnd,Bellyache, 71,2017-02-24,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
5MyIUcMuz1rsqiwRVxavRY,Rojo, 80,2020-02-27,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
44msshHeN6irJ1md7GVSlU,First Band On The Moon (Remastered), 61,1996-01-01,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
0ix3XtPV1LwmZADsprKxcp,Hot Pink, 91,2019-11-07,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7fJJK56U9fHixgO0HQkhtI,Hunting High and Low, 75,1985-06-01,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7fJJK56U9fHixgO0HQkhtI,V, 77,2014-09-02,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7fJJK56U9fHixgO0HQkhtI,Good as Hell (feat. Ariana Grande) [Remix], 75,2019-10-25,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
5Qd3rWZavleUmV0pwBUjNF,Don't Start Now (Live in LA Remix), 51,2020-01-28,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
5Qd3rWZavleUmV0pwBUjNF,La Boca (Remix), 69,2019-07-17,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
5Qd3rWZavleUmV0pwBUjNF,Callaita, 77,2019-05-31,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
5UDyy33uG5P9Jh7xD5rqDw,Divinely Uninspired To A Hellish Extent, 88,2019-05-17,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
3zHPYwiMJqa3hTBgk695Ae,Joanne (Deluxe), 73,2016-10-21,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
3zv24J8NbyfyDZD5zL102P,WHEN WE ALL FALL ASLEEP WHERE DO WE GO?, 94,2019-03-29,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
4bzVI1FElc13HQagFR7S1W,Quiero Volver, 69,2018-10-12,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7xV2TzoaVc0ycW7fwBwAml,Fresa, 66,2019-09-06,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
44msshHeN6irJ1md7GVSlU,Tusa, 86,2019-11-07,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
4ZOJtA52YPtxDuT0YmyWKl,Calma (Remix), 74,2018-10-05,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
67rOBOMZsXiQwoPpZbnC8b,I like it when you sleep for you are so beautiful yet so unaware of it, 71,2016-02-26,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
3HpTJ9jpgwzzn7S8AUwlb9,Ghost Stories Live 2014, 54,2014-11-21,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
67rOBOMZsXiQwoPpZbnC8b,A Head Full of Dreams, 76,2015-12-04,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
5MyIUcMuz1rsqiwRVxavRY,Everyday Life, 76,2019-11-22,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
3HpTJ9jpgwzzn7S8AUwlb9,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition), 85,2019-11-15,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7a8LBp4khqUFgSc4j8tVgN,dont smile at me, 86,2017-12-22,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
355bjCHzRJztCzaG5Za4gq,BOTA FUEGO (feat. Dímelo Flow Justin Quiles & Lenny Tavárez) [Remix], 64,2019-12-20,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
355bjCHzRJztCzaG5Za4gq,Scared to Be Lonely, 71,2017-01-27,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
355bjCHzRJztCzaG5Za4gq,Sing (Original Motion Picture Soundtrack Deluxe), 63,2016-12-09,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
355bjCHzRJztCzaG5Za4gq,Vai Passar Mal, 48,2017-08-21,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
355bjCHzRJztCzaG5Za4gq,Energia (Parte 2), 41,2018-09-14,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
355bjCHzRJztCzaG5Za4gq,Britney Jean (Deluxe Version), 63,2013-11-30,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
355bjCHzRJztCzaG5Za4gq,The Age Of The Understatement, 57,2008-04-19,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
355bjCHzRJztCzaG5Za4gq,Everything You've Come To Expect, 54,2016-04-01,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
