song_name,song_picture
Physical,https://i.scdn.co/image/ab67616d0000b273c966c2f4e08aee0442b6b8d6
Clima Quente,https://i.scdn.co/image/ab67616d0000b273c966c2f4e08aee0442b6b8d6
Salvaje,https://i.scdn.co/image/ab67616d0000b273c966c2f4e08aee0442b6b8d6
Break My Heart,https://i.scdn.co/image/ab67616d0000b273c966c2f4e08aee0442b6b8d6
Pretty Please,https://i.scdn.co/image/ab67616d0000b273c966c2f4e08aee0442b6b8d6
